Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C142_F11_Martello_Polo_Day0_H9_E8_71	C142	F11	experiment_2	DAY0	E8	H9	71	SC	Day0_E8	3893	77466	30404	111763	96.52	111763	69.31	32922	29.46	42.5	63.3	20839	2.75	905	30.93	10184	33.4	10996	32922	5963	1
C142_F12_Martello_Polo_Day0_H9_E8_72	C142	F12	experiment_2	DAY0	E8	H9	72	SC	Day0_E8	29732	1040481	355690	1425903	97.91	1425903	72.97	705493	49.48	67.8	55.31	390192	1.54	10892	41.16	290407	42.97	303174	705493	11363	1
C142_F2_Martello_Polo_Day0_H9_E8_62	C142	F2	experiment_2	DAY0	E8	H9	62	SC	Day0_E8	3752	73232	22346	99330	96.22	99330	73.73	27787	27.97	37.94	92.3	25648	4.1	1138	0.08	23	0.08	23	27787	5770	1
C142_F3_Martello_Polo_Day0_H9_E8_63	C142	F3	experiment_2	DAY0	E8	H9	63	SC	Day0_E8	2920	88267	30121	121308	97.59	121308	72.76	39432	32.51	44.67	62.18	24520	2.84	1120	32.14	12672	33.85	13349	39432	6047	1
C142_F4_Martello_Polo_Day0_H9_E8_64	C142	F4	experiment_2	DAY0	E8	H9	64	SC	Day0_E8	3544	126131	51595	181270	98.04	181270	69.58	67221	37.08	53.29	71.23	47881	2.86	1920	22.99	15457	24.62	16548	67221	7739	1
C142_F5_Martello_Polo_Day0_H9_E8_65	C142	F5	experiment_2	DAY0	E8	H9	65	SC	Day0_E8	4186	112414	53159	169759	97.53	169759	66.22	58878	34.68	52.38	62.36	36715	2.36	1392	32.43	19095	34.28	20186	58878	7045	1
C142_F6_Martello_Polo_Day0_H9_E8_66	C142	F6	experiment_2	DAY0	E8	H9	66	SC	Day0_E8	2109	93234	44705	140048	98.49	140048	66.57	50369	35.97	54.02	59.12	29778	2.33	1176	35.83	18049	38.18	19231	50369	6330	1
C142_F7_Martello_Polo_Day0_H9_E8_67	C142	F7	experiment_2	DAY0	E8	H9	67	SC	Day0_E8	8515	223135	100461	332111	97.44	332111	67.19	131120	39.48	58.76	61.32	80397	2.43	3183	33.97	44548	35.49	46541	131120	8420	1
C142_F8_Martello_Polo_Day0_H9_E8_68	C142	F8	experiment_2	DAY0	E8	H9	68	SC	Day0_E8	5287	226408	113569	345264	98.47	345264	65.58	135483	39.24	59.84	63.72	86327	2.28	3083	31.08	42107	33.19	44964	135483	9474	1
C142_F9_Martello_Polo_Day0_H9_E8_69	C142	F9	experiment_2	DAY0	E8	H9	69	SC	Day0_E8	5293	103815	45390	154498	96.57	154498	67.2	50710	32.82	48.85	52.14	26442	2.53	1281	43.08	21847	45.33	22986	50710	6083	1
