Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment
C145_D4_Martello_Polo_Day2_E8_C_40	C145	D4	experiment_2	DAY2	E8	C	40	SC	Day2_E8
C145_D5_Martello_Polo_Day2_E8_C_41	C145	D5	experiment_2	DAY2	E8	C	41	SC	Day2_E8
C145_D6_Martello_Polo_Day2_E8_C_42	C145	D6	experiment_2	DAY2	E8	C	42	SC	Day2_E8
C145_D7_Martello_Polo_Day2_E8_C_43	C145	D7	experiment_2	DAY2	E8	C	43	SC	Day2_E8
C145_D8_Martello_Polo_Day2_E8_C_44	C145	D8	experiment_2	DAY2	E8	C	44	SC	Day2_E8
C145_D9_Martello_Polo_Day2_E8_C_45	C145	D9	experiment_2	DAY2	E8	C	45	SC	Day2_E8
C145_E1_Martello_Polo_Day2_E8_C_49	C145	E1	experiment_2	DAY2	E8	C	49	SC	Day2_E8
C145_E10_Martello_Polo_Day2_E8_C_58	C145	E10	experiment_2	DAY2	E8	C	58	SC	Day2_E8
C145_E11_Martello_Polo_Day2_E8_C_59	C145	E11	experiment_2	DAY2	E8	C	59	SC	Day2_E8
C145_E12_Martello_Polo_Day2_E8_C_60	C145	E12	experiment_2	DAY2	E8	C	60	SC	Day2_E8
C145_E2_Martello_Polo_Day2_E8_C_50	C145	E2	experiment_2	DAY2	E8	C	50	SC	Day2_E8
C145_E3_Martello_Polo_Day2_E8_C_51	C145	E3	experiment_2	DAY2	E8	C	51	SC	Day2_E8
C145_E4_Martello_Polo_Day2_E8_C_52	C145	E4	experiment_2	DAY2	E8	C	52	SC	Day2_E8
C145_E5_Martello_Polo_Day2_E8_C_53	C145	E5	experiment_2	DAY2	E8	C	53	SC	Day2_E8
C145_E6_Martello_Polo_Day2_E8_C_54	C145	E6	experiment_2	DAY2	E8	C	54	SC	Day2_E8
C145_E7_Martello_Polo_Day2_E8_C_55	C145	E7	experiment_2	DAY2	E8	C	55	SC	Day2_E8
C145_E8_Martello_Polo_Day2_E8_C_56	C145	E8	experiment_2	DAY2	E8	C	56	SC	Day2_E8
C145_E9_Martello_Polo_Day2_E8_C_57	C145	E9	experiment_2	DAY2	E8	C	57	SC	Day2_E8
C145_F1_Martello_Polo_Day2_E8_C_61	C145	F1	experiment_2	DAY2	E8	C	61	SC	Day2_E8
C145_F10_Martello_Polo_Day2_E8_C_70	C145	F10	experiment_2	DAY2	E8	C	70	SC	Day2_E8
C145_F11_Martello_Polo_Day2_E8_C_71	C145	F11	experiment_2	DAY2	E8	C	71	SC	Day2_E8
C145_F12_Martello_Polo_Day2_E8_C_72	C145	F12	experiment_2	DAY2	E8	C	72	SC	Day2_E8
C145_F2_Martello_Polo_Day2_E8_C_62	C145	F2	experiment_2	DAY2	E8	C	62	SC	Day2_E8
C145_F3_Martello_Polo_Day2_E8_C_63	C145	F3	experiment_2	DAY2	E8	C	63	SC	Day2_E8
C145_F4_Martello_Polo_Day2_E8_C_64	C145	F4	experiment_2	DAY2	E8	C	64	SC	Day2_E8
C145_F5_Martello_Polo_Day2_E8_C_65	C145	F5	experiment_2	DAY2	E8	C	65	SC	Day2_E8
C145_F6_Martello_Polo_Day2_E8_C_66	C145	F6	experiment_2	DAY2	E8	C	66	SC	Day2_E8
C145_F7_Martello_Polo_Day2_E8_C_67	C145	F7	experiment_2	DAY2	E8	C	67	SC	Day2_E8
C145_F8_Martello_Polo_Day2_E8_C_68	C145	F8	experiment_2	DAY2	E8	C	68	SC	Day2_E8
C145_F9_Martello_Polo_Day2_E8_C_69	C145	F9	experiment_2	DAY2	E8	C	69	SC	Day2_E8
C145_G1_Martello_Polo_Day2_E8_C_73	C145	G1	experiment_2	DAY2	E8	C	73	SC	Day2_E8
C145_G10_Martello_Polo_Day2_E8_C_82	C145	G10	experiment_2	DAY2	E8	C	82	SC	Day2_E8
C145_G11_Martello_Polo_Day2_E8_C_83	C145	G11	experiment_2	DAY2	E8	C	83	SC	Day2_E8
C145_G12_Martello_Polo_Day2_E8_C_84	C145	G12	experiment_2	DAY2	E8	C	84	SC	Day2_E8
C145_G2_Martello_Polo_Day2_E8_C_74	C145	G2	experiment_2	DAY2	E8	C	74	SC	Day2_E8
C145_G3_Martello_Polo_Day2_E8_C_75	C145	G3	experiment_2	DAY2	E8	C	75	SC	Day2_E8
C145_G4_Martello_Polo_Day2_E8_C_76	C145	G4	experiment_2	DAY2	E8	C	76	SC	Day2_E8
C145_G5_Martello_Polo_Day2_E8_C_77	C145	G5	experiment_2	DAY2	E8	C	77	SC	Day2_E8
C145_G6_Martello_Polo_Day2_E8_C_78	C145	G6	experiment_2	DAY2	E8	C	78	SC	Day2_E8
C145_G7_Martello_Polo_Day2_E8_C_79	C145	G7	experiment_2	DAY2	E8	C	79	SC	Day2_E8
C145_G8_Martello_Polo_Day2_E8_C_80	C145	G8	experiment_2	DAY2	E8	C	80	SC	Day2_E8
C145_G9_Martello_Polo_Day2_E8_C_81	C145	G9	experiment_2	DAY2	E8	C	81	SC	Day2_E8
C145_H1_Martello_Polo_Day2_E8_C_85	C145	H1	experiment_2	DAY2	E8	C	85	SC	Day2_E8
C145_H10_Martello_Polo_Day2_E8_C_94	C145	H10	experiment_2	DAY2	E8	C	94	SC	Day2_E8
C145_H11_Martello_Polo_Day2_E8_C_95	C145	H11	experiment_2	DAY2	E8	C	95	SC	Day2_E8
C145_H12_Martello_Polo_Day2_E8_C_96_MINIBULK	C145	H12	experiment_2	DAY2	E8	C	96	MINIBULK	Day2_E8
C145_H2_Martello_Polo_Day2_E8_C_86	C145	H2	experiment_2	DAY2	E8	C	86	SC	Day2_E8
C145_H3_Martello_Polo_Day2_E8_C_87	C145	H3	experiment_2	DAY2	E8	C	87	SC	Day2_E8
C145_H4_Martello_Polo_Day2_E8_C_88	C145	H4	experiment_2	DAY2	E8	C	88	SC	Day2_E8
C145_H5_Martello_Polo_Day2_E8_C_89	C145	H5	experiment_2	DAY2	E8	C	89	SC	Day2_E8
C145_H6_Martello_Polo_Day2_E8_C_90	C145	H6	experiment_2	DAY2	E8	C	90	SC	Day2_E8
C145_H7_Martello_Polo_Day2_E8_C_91	C145	H7	experiment_2	DAY2	E8	C	91	SC	Day2_E8
C145_H8_Martello_Polo_Day2_E8_C_92	C145	H8	experiment_2	DAY2	E8	C	92	SC	Day2_E8
C145_H9_Martello_Polo_Day2_E8_C_93	C145	H9	experiment_2	DAY2	E8	C	93	SC	Day2_E8
C147_A1_Martello_Polo_Day2_E8_C_1_EMPTY	C147	A1	experiment_2	DAY2	E8	C	1	EMPTY	Day2_E8
C147_A10_Martello_Polo_Day2_E8_C_10	C147	A10	experiment_2	DAY2	E8	C	10	SC	Day2_E8
C147_A11_Martello_Polo_Day2_E8_C_11	C147	A11	experiment_2	DAY2	E8	C	11	SC	Day2_E8
C147_A12_Martello_Polo_Day2_E8_C_12	C147	A12	experiment_2	DAY2	E8	C	12	SC	Day2_E8
C147_A2_Martello_Polo_Day2_E8_C_2	C147	A2	experiment_2	DAY2	E8	C	2	SC	Day2_E8
C147_A3_Martello_Polo_Day2_E8_C_3	C147	A3	experiment_2	DAY2	E8	C	3	SC	Day2_E8
C147_A4_Martello_Polo_Day2_E8_C_4	C147	A4	experiment_2	DAY2	E8	C	4	SC	Day2_E8
C147_A5_Martello_Polo_Day2_E8_C_5	C147	A5	experiment_2	DAY2	E8	C	5	SC	Day2_E8
C147_A6_Martello_Polo_Day2_E8_C_6	C147	A6	experiment_2	DAY2	E8	C	6	SC	Day2_E8
C147_A7_Martello_Polo_Day2_E8_C_7	C147	A7	experiment_2	DAY2	E8	C	7	SC	Day2_E8
C147_A8_Martello_Polo_Day2_E8_C_8	C147	A8	experiment_2	DAY2	E8	C	8	SC	Day2_E8
C147_A9_Martello_Polo_Day2_E8_C_9	C147	A9	experiment_2	DAY2	E8	C	9	SC	Day2_E8
C147_B1_Martello_Polo_Day2_E8_C_13	C147	B1	experiment_2	DAY2	E8	C	13	SC	Day2_E8
C147_B10_Martello_Polo_Day2_E8_C_22	C147	B10	experiment_2	DAY2	E8	C	22	SC	Day2_E8
C147_B11_Martello_Polo_Day2_E8_C_23	C147	B11	experiment_2	DAY2	E8	C	23	SC	Day2_E8
C147_B12_Martello_Polo_Day2_E8_C_24	C147	B12	experiment_2	DAY2	E8	C	24	SC	Day2_E8
C147_B2_Martello_Polo_Day2_E8_C_14	C147	B2	experiment_2	DAY2	E8	C	14	SC	Day2_E8
C147_B3_Martello_Polo_Day2_E8_C_15	C147	B3	experiment_2	DAY2	E8	C	15	SC	Day2_E8
C147_B4_Martello_Polo_Day2_E8_C_16	C147	B4	experiment_2	DAY2	E8	C	16	SC	Day2_E8
C147_B5_Martello_Polo_Day2_E8_C_17	C147	B5	experiment_2	DAY2	E8	C	17	SC	Day2_E8
C147_B6_Martello_Polo_Day2_E8_C_18	C147	B6	experiment_2	DAY2	E8	C	18	SC	Day2_E8
C147_B7_Martello_Polo_Day2_E8_C_19	C147	B7	experiment_2	DAY2	E8	C	19	SC	Day2_E8
C147_B8_Martello_Polo_Day2_E8_C_20	C147	B8	experiment_2	DAY2	E8	C	20	SC	Day2_E8
C147_B9_Martello_Polo_Day2_E8_C_21	C147	B9	experiment_2	DAY2	E8	C	21	SC	Day2_E8
C147_C1_Martello_Polo_Day2_E8_C_25	C147	C1	experiment_2	DAY2	E8	C	25	SC	Day2_E8
C147_C10_Martello_Polo_Day2_E8_C_34	C147	C10	experiment_2	DAY2	E8	C	34	SC	Day2_E8
C147_C11_Martello_Polo_Day2_E8_C_35	C147	C11	experiment_2	DAY2	E8	C	35	SC	Day2_E8
C147_C12_Martello_Polo_Day2_E8_C_36	C147	C12	experiment_2	DAY2	E8	C	36	SC	Day2_E8
C147_C2_Martello_Polo_Day2_E8_C_26	C147	C2	experiment_2	DAY2	E8	C	26	SC	Day2_E8
C147_C3_Martello_Polo_Day2_E8_C_27	C147	C3	experiment_2	DAY2	E8	C	27	SC	Day2_E8
C147_C4_Martello_Polo_Day2_E8_C_28	C147	C4	experiment_2	DAY2	E8	C	28	SC	Day2_E8
C147_C5_Martello_Polo_Day2_E8_C_29	C147	C5	experiment_2	DAY2	E8	C	29	SC	Day2_E8
C147_C6_Martello_Polo_Day2_E8_C_30	C147	C6	experiment_2	DAY2	E8	C	30	SC	Day2_E8
C147_C7_Martello_Polo_Day2_E8_C_31	C147	C7	experiment_2	DAY2	E8	C	31	SC	Day2_E8
C147_C8_Martello_Polo_Day2_E8_C_32	C147	C8	experiment_2	DAY2	E8	C	32	SC	Day2_E8
C147_C9_Martello_Polo_Day2_E8_C_33	C147	C9	experiment_2	DAY2	E8	C	33	SC	Day2_E8
C147_D1_Martello_Polo_Day2_E8_C_37	C147	D1	experiment_2	DAY2	E8	C	37	SC	Day2_E8
C147_D10_Martello_Polo_Day2_E8_C_46	C147	D10	experiment_2	DAY2	E8	C	46	SC	Day2_E8
